Team 1,Agg.,Team 2,1st leg,2nd leg
Pyunik,2–2 (4–3 p),CFR Cluj,0–0,2–2 (a.e.t.)
Maribor,2–0[A],Shakhtyor Soligorsk,0–0,2–0
Ludogorets Razgrad,3–0,Sutjeska Nikšić,2–0,1–0
F91 Dudelange,3–1,Tirana,1–0,2–1
Tobol,1–5,Ferencváros,0–0,1–5
Malmö FF,6–5,Víkingur Reykjavík,3–2,3–3
Ballkani,1–2,Žalgiris,1–1,0–1 (a.e.t.)
HJK,2–2 (5–4 p)[A],RFS,1–0,1–2 (a.e.t.)
Bodø/Glimt,4–3,KÍ Klaksvík,3–0,1–3
The New Saints,1–2,Linfield,1–0,0–2 (a.e.t.)
Shamrock Rovers,3–0,Hibernians,3–0,0–0
Lech Poznań,2–5,Qarabağ,1–0,1–5
Shkupi,3–2,Lincoln Red Imps,3–0,0–2
Zrinjski Mostar,0–1,Sheriff Tiraspol,0–0,0–1
Slovan Bratislava,2–1,Dinamo Batumi,0–0,2–1 (a.e.t.)
