Team 1,Agg.,Team 2,1st leg,2nd leg
Ferencváros,5–3,Slovan Bratislava,1–2,4–1
Dinamo Zagreb,3–2,Shkupi,2–2,1–0
Qarabağ,5–4,Zürich,3–2,2–2 (a.e.t.)
HJK,1–7,Viktoria Plzeň,1–2,0–5
Linfield,1–8,Bodø/Glimt,1–0,0–8
Žalgiris,3–0,Malmö FF,1–0,2–0
Ludogorets Razgrad,4–2,Shamrock Rovers,3–0,1–2
Maribor,0–1,Sheriff Tiraspol,0–0,0–1
Maccabi Haifa,5–1,Olympiacos,1–1,4–0
Pyunik,4–2,F91 Dudelange,0–1,4–1
Midtjylland,2–2 (4–3 p),AEK Larnaca,1–1,1–1 (a.e.t.)
Dynamo Kyiv,2–1,Fenerbahçe,0–0,2–1 (a.e.t.)
