Team 1,Agg.,Team 2,1st leg,2nd leg
Alashkert,2–4,Ħamrun Spartans,1–0,1–4
Lechia Gdańsk,6–2,Akademija Pandev,4–1,2–1
Inter Turku,1–3,Drita,1–0,0–3
Dinamo Tbilisi,4–4 (5–6 p),Paide Linnameeskond,2–3,2–1 (a.e.t.)
Panevėžys,0–2,Milsami Orhei,0–0,0–2
Laçi,1–0,Iskra,0–0,1–0
Gjilani,2–3[A],Liepāja,1–0,1–3
Sfîntul Gheorghe,2–4,Mura,1–2,1–2
KuPS,2–0,Dila Gori,2–0,0–0
Ružomberok,2–0,Kauno Žalgiris,2–0,0–0
Budućnost Podgorica,4–2,Llapi,2–0,2–2
Gżira United,2–1,Atlètic Club d'Escaldes,1–1,1–0 (a.e.t.)
Borac Banja Luka,3–3 (3–4 p),B36 Tórshavn,2–0,1–3 (a.e.t.)
Olimpija Ljubljana,3–2,Differdange 03,1–1,2–1 (a.e.t.)
St Joseph's,1–0[A],Larne,0–0,1–0
UE Santa Coloma,1–5[A],Breiðablik,0–1,1–4
DAC Dunajská Streda,5–1,Cliftonville,2–1,3–0
Víkingur,3–1,Europa,1–0,2–1
Bala Town,2–2 (3–4 p),Sligo Rovers,1–2,1–0 (a.e.t.)
Fola Esch,1–4[A],Tre Fiori,0–1,1–3
Dinamo Minsk,3–2,Dečić,1–1,2–1
Tre Penne,0–8,Tuzla City,0–2,0–6
Saburtalo Tbilisi,1–1 (5–4 p),Partizani,0–1,1–0 (a.e.t.)
Shkëndija,4–2,Ararat Yerevan,2–0,2–2
Floriana,0–1,Petrocub Hîncești,0–0,0–1
Pogoń Szczecin,4–2,KR,4–1,0–1
HB,2–2 (2–4 p),Newtown,1–0,1–2 (a.e.t.)
Bruno's Magpies,3–4,Crusaders,2–1,1–3
Flora,3–4,SJK,1–0,2–4 (a.e.t.)
Derry City,0–4,Riga,0–2,0–2
