Team 1,Agg.,Team 2,1st leg,2nd leg
Maribor,0–1,CFR Cluj,0–0,0–1
RFS,3–3 (4–2 p),Linfield,2–2,1–1 (a.e.t.)
Lech Poznań,3–1,F91 Dudelange,2–0,1–1
Shkupi,1–3,Ballkani,1–2,0–1
Zrinjski Mostar,2–2 (5–6 p),Slovan Bratislava,1–0,1–2 (a.e.t.)
CSKA Sofia,1–2,Basel,1–0,0–2
Vaduz,2–1,Rapid Wien,1–1,1–0
Raków Częstochowa,2–3,Slavia Prague,2–1,0–2 (a.e.t.)
Djurgårdens IF,5–3[A],APOEL,3–0,2–3
Maccabi Tel Aviv,1–2,Nice,1–0,0–2 (a.e.t.)
Universitatea Craiova,2–2 (3–4 p),Hapoel Be'er Sheva,1–1,1–1 (a.e.t.)
İstanbul Başakşehir,4–2,Antwerp,1–1,3–1
FCSB,4–3,Viking,1–2,3–1
Partizan,7–4,Ħamrun Spartans,4–1,3–3
Fiorentina,2–1,Twente,2–1,0–0
Villarreal,6–2,Hajduk Split,4–2,2–0
1. FC Köln,4–2,Fehérvár,1–2,3–0
West Ham United,6–1,Viborg,3–1,3–0
Young Boys,1–1 (1–3 p),Anderlecht,0–1,1–0 (a.e.t.)
Slovácko,4–0,AIK,3–0,1–0
Molde,4–1,Wolfsberger AC,0–1,4–0
AZ,6–1,Gil Vicente,4–0,2–1
