Team 1,Agg.,Team 2,1st leg,2nd leg
Víkingur Reykjavík,2–4,Lech Poznań,1–0,1–4 (a.e.t.)
RFS,4–2,Hibernians,1–1,3–1
Ballkani,4–4 (4–3 p),KÍ Klaksvík,3–2,1–2 (a.e.t.)
Zrinjski Mostar,2–1,Tobol,1–0,1–1
Shakhtyor Soligorsk,0–1,CFR Cluj,0–0,0–1
Spartak Trnava,0–3,Raków Częstochowa,0–2,0–1
AIK,2–2 (3–2 p),Shkëndija,1–1,1–1 (a.e.t.)
Viking,5–2,Sligo Rovers,5–1,0–1
Breiðablik,1–6,İstanbul Başakşehir,1–3,0–3
KuPS,0–5,Young Boys,0–2,0–3
Paide Linnameeskond,0–5,Anderlecht,0–2,0–3
Viborg,5–1,B36 Tórshavn,3–0,2–1
Hajduk Split,3–2,Vitória de Guimarães,3–1,0–1
Brøndby,2–2 (1–3 p),Basel,1–0,1–2 (a.e.t.)
Lillestrøm,1–5,Antwerp,1–3,0–2
CSKA Sofia,2–1,St Patrick's Athletic,0–1,2–0
Dundee United,1–7,AZ,1–0,0–7
APOEL,1–0,Kyzylzhar,1–0,0–0
DAC Dunajská Streda,0–2,FCSB,0–1,0–1
Riga,1–5,Gil Vicente,1–1,0–4
Wolfsberger AC,4–0,Gżira United,0–0,4–0
Maccabi Tel Aviv,3–2,Aris,2–0,1–2
Molde,4–2,Kisvárda,3–0,1–2
Neftçi Baku,2–3,Rapid Wien,2–1,0–2 (a.e.t.)
Lugano,1–5,Hapoel Be'er Sheva,0–2,1–3
Ħamrun Spartans,2–2 (4–1 p)[A],Levski Sofia,0–1,2–1 (a.e.t.)
Čukarički,2–7[A],Twente,1–3,1–4
Zorya Luhansk,1–3,Universitatea Craiova,1–0,0–3
Vaduz,5–3,Konyaspor,1–1,4–2
Sepsi Sfântu Gheorghe,2–6,Djurgårdens IF,1–3,1–3
Fehérvár,7–1,Petrocub Hîncești,5–0,2–1
Slavia Prague,3–1,Panathinaikos,2–0,1–1
