Entry round,Entry round.1,Teams,Teams.1,Teams.2,Teams.3
Knockout round play-offs,Knockout round play-offs,(UCL GS),(UCL GS),(UCL GS),(UCL GS)
Knockout round play-offs,Knockout round play-offs,(UCL GS),(UCL GS),(UCL GS),(UCL GS)
,,,,,
Group stage,Group stage,Roma (6th)ECL,Arsenal (5th),Manchester United (6th),Real Betis (CW)
Group stage,Group stage,Real Sociedad (6th),Lazio (5th),Union Berlin (5th),SC Freiburg (6th)
Group stage,Group stage,Nantes (CW),Rennes (4th),Braga (4th),Feyenoord (3rd)
Group stage,Group stage,(UCL CH PO),(UCL CH PO),(UCL CH PO),(UCL CH PO)
Group stage,Group stage,(UCL LP PO),(UCL LP PO),(UCL LP Q3),(UCL LP Q3)
Group stage,Group stage,(UCL LP Q3),(UCL LP Q3),,
,,,,,
Play-off round,Play-off round,Gent (CW),Austria Wien (3rd),Heart of Midlothian (3rd),Dnipro-1 (Abd-3rd)[Note UKR]
Play-off round,Play-off round,Sivasspor (CW),Silkeborg (3rd),Omonia (CW),(UCL CH Q3)
Play-off round,Play-off round,(UCL CH Q3),(UCL CH Q3),(UCL CH Q3),(UCL CH Q3)
Play-off round,Play-off round,(UCL CH Q3),,,
,,,,,
Third qualifying round,CH,(UCL CH Q2),(UCL CH Q2),(UCL CH Q2),(UCL CH Q2)
Third qualifying round,CH,(UCL CH Q2),(UCL CH Q2),(UCL CH Q2),(UCL CH Q2)
Third qualifying round,CH,(UCL CH Q2),(UCL CH Q2),,
Third qualifying round,MP,Partizan (2nd),Slovácko (CW),(UCL LP Q2),(UCL LP Q2)
